Н1 для тексту з пробілами:  4.367271375829809      R =  12.654572483403825 %
Н2 для тексту з пробілами (біграми перетинаються):  3.9577141050316333      R =  58.31288851835097 %
Н2 для тексту з пробілами (біграми не перетинаються):  3.957434097356912      R =  58.04488186589432 %
H1 без пробілів:  4.468635200737929
H2 без пробілів(біграми перетинаються):  4.1523148031376795

Таблиця кількості букв:
Символ Кількість  Частота   
по    1979       0.00943
лы    215        0.00102
мя    103        0.00049
еб    255        0.00121
ыв    211        0.00100
ое    266        0.00127
ри    939        0.00447
ст    2153       0.01025
ищ    74         0.00035
па    405        0.00193
ук    192        0.00091
и     4822       0.02296
му    312        0.00149
хи    36         0.00017
оч    364        0.00173
ка    1447       0.00689
х     867        0.00413
на    1878       0.00894
ол    1403       0.00668
ю     423        0.00201
ра    1538       0.00732
ду    331        0.00158
шн    60         0.00029
ый    345        0.00164
 м    1091       0.00520
ро    1667       0.00794
ге    40         0.00019
 ч    846        0.00403
ло    1223       0.00582
вн    233        0.00111
ут    435        0.00207
ок    450        0.00214
хо    528        0.00251
зя    41         0.00020
не    1742       0.00830
ыл    380        0.00181
о     4401       0.02096
до    845        0.00402
ма    381        0.00181
 о    2519       0.01200
нь    208        0.00099
ту    377        0.00180
чи    257        0.00122
 с    3353       0.01597
об    848        0.00404
ир    111        0.00053
аю    174        0.00083
тс    239        0.00114
я     2014       0.00959
чн    180        0.00086
за    1070       0.00510
аз    669        0.00319
зи    66         0.00031
ла    786        0.00374
сь    837        0.00399
бр    296        0.00141
ат    781        0.00372
ны    846        0.00403
й     1385       0.00660
пу    227        0.00108
ть    1187       0.00565
ле    799        0.00381
дн    382        0.00182
яя    14         0.00007
ва    1061       0.00505
жо    4          0.00002
н     1025       0.00488
ль    1264       0.00602
д     398        0.00190
эл    119        0.00057
бб    82         0.00039
ит    706        0.00336
ли    2262       0.01077
уд    359        0.00171
тн    200        0.00095
хм    3          0.00001
ов    1228       0.00585
во    1210       0.00576
ус    280        0.00133
ск    647        0.00308
ий    195        0.00093
 я    270        0.00129
зы    68         0.00032
к     984        0.00469
м     1658       0.00790
бе    446        0.00212
мл    47         0.00022
лл    83         0.00040
юс    21         0.00010
тр    645        0.00307
ац    9          0.00004
ии    64         0.00030
ер    1265       0.00602
ев    307        0.00146
 у    921        0.00439
